,,,,,,,
Buoy_ID,Latitude,Longitude,Date,UTC time,Mean sea ice thickness (cm),Mean snow depth (cm),Std snow depth (cm)
2025_04_KVS_SvalMIZ_24,79.9717861,15.2866572,2025-04-27,9:00:00 AM,42,7,3
2025_04_KVS_SvalMIZ_06,80.0340947,12.1731367,2025-05-02,4:30:00 PM,61,17,4
2025_04_KVS_SvalMIZ_01,79.9080585,8.5632525,2025-05-05,8:19:00 AM,110,12,5
2025_04_KVS_SvalMIZ_09,80.1514871,8.2460123,2025-05-05,10:32:00 AM,162,10,9
2025_04_KVS_SvalMIZ_22,80.3414464,7.3775893,2025-05-05,11:45:00 AM,126,23,13
2025_04_KVS_SvalMIZ_08,80.4953977,7.19238,2025-05-05,2:21:00 PM,112,27,9
2025_04_KVS_SvalMIZ_23,80.6408424,6.8521076,2025-05-05,4:00:00 PM,120,27,16
2025_04_KVS_SvalMIZ_04,80.7261275,6.4866233,2025-05-05,5:53:00 PM,162,13,8
2025_04_KVS_SvalMIZ_03,80.8251246,5.9480651,2025-05-05,8:25:00 PM,143,14,3
2025_04_KVS_SvalMIZ_25,80.8792713,5.755764,2025-05-05,10:23:00 PM,146,10,2
2025_04_KVS_SvalMIZ_10,80.8592989,6.0935207,2025-05-05,8:11:00 AM,144,13,4
2025_04_KVS_SvalMIZ_07,80.8033386,6.2762546,2025-05-06,12:44:00 PM,127,12,7
2025_04_KVS_SvalMIZ_17,,,2025-05-06,4:00:00 PM,195,12,3
2025_04_KVS_SvalMIZ_15,80.583317,6.2589108,2025-05-06,8:26:00 PM,127,13,5
2025_04_KVS_SvalMIZ_18,80.5243658,6.2721347,2025-05-06,10:11:00 PM,123,10,3
2025_04_KVS_SvalMIZ_05,80.4957499,6.2219852,2025-05-07,8:36:00 AM,193,18,6
2025_04_KVS_SvalMIZ_11,80.4268082,5.8495291,2025-05-07,12:18:00 PM,143,10,4
2025_04_KVS_SvalMIZ_20,80.3936969,5.3683558,2025-05-07,1:40:00 PM,140,27,14
2025_04_KVS_SvalMIZ_19,80.2997534,6.4190769,2025-05-07,4:14:00 PM,125,15,6
2025_04_KVS_SvalMIZ_02,80.253954,6.1666877,2025-05-07,7:00:00 PM,127,15,5
2025_04_KVS_SvalMIZ_14,80.2105594,6.4000237,2025-05-07,8:00:00 PM,120,20,7